SampleID,Sex,Generation
F02,F,41
F03,F,41
F04,F,41
F06,F,41
F07,F,41
F08,F,41
F10,F,41
F12,F,41
F14,F,41
F15,F,41
F17,F,41
F19,F,41
F23,F,41
F24,F,41
F25,F,41
F26,F,41
F28,F,41
F29,F,41
F31,F,41
F32,F,41
F33,F,41
F36,F,41
F37,F,41
F38,F,41
F39,F,41
F40,F,41
F51,F,41
F55,F,41
M03,M,41
M04,M,41
M11,M,41
M12,M,41
M14,M,41
M15,M,41
M16,M,41
M17,M,41
M19,M,41
M20,M,41
M21,M,41
M23,M,41
M24,M,41
M25,M,41
M26,M,41
M28,M,41
M29,M,41
M30,M,41
M32,M,41
M33,M,41
M34,M,41
M35,M,41
M36,M,41
M37,M,41
M38,M,41
M39,M,41
M45,M,41
M58,M,41
